repx,subj_n,b1,parameter,Estimate,Est.Error,Q2.5,Q97.5
12,12,-1.35,right,-0.194777328721675,0.23566394303822105,-0.6634823,0.26633065
12,12,-1,left,-0.68918202711275,0.5082856846678449,-1.7013055000000001,0.3188486000000005
12,12,-1,right,-0.1420253517769,0.2967352061136201,-0.7178110499999999,0.43793420000000005
12,16,-1.71,left,-1.3462568774,0.373025423032158,-2.0999737499999998,-0.60934145
12,16,-1.71,right,-0.30859824679375,0.19861872214057044,-0.707663525,0.09503183750000006
12,16,-1.35,left,-1.00534024115,0.28236530979264146,-1.5489950000000001,-0.45241932499999993
12,16,-1.35,right,-0.3019854890604,0.23398200877016812,-0.7649760999999999,0.17260267500000004
12,16,-1,left,-0.8517835240025,0.3735078253634547,-1.60369125,-0.119950675
12,16,-1,right,-0.329177372003375,0.21039800796812078,-0.7486591499999999,0.09021818750000005
13,8,-1.71,left,-2.82413177675,0.37734313117981433,-3.55019725,-2.02714875
13,8,-1.71,right,-0.347980722035,0.26561832242962663,-0.8606001499999999,0.18459535000000027
13,8,-1.35,left,-1.3277169757,0.5448883862356393,-2.430246,-0.24717862499999962
13,8,-1.35,right,-0.0386198722735,0.3021299990851842,-0.6222588,0.5590942750000001
13,8,-1,left,-1.5793713069475,0.5154794948996079,-2.57744375,-0.49493012499999994
13,8,-1,right,-0.38782876551485,0.3194069876861498,-1.0407897499999998,0.24852327500000013
13,12,-1.71,left,-1.581444291,0.43983921418658467,-2.4362457500000003,-0.6646782499999999
13,12,-1.71,right,-0.166240568088025,0.2840313837657199,-0.719899125,0.4052166250000007
13,12,-1.35,left,-1.03144091745,0.2792460986640444,-1.58525575,-0.4686495
13,12,-1.35,right,-0.157429217330225,0.23337795992498447,-0.6213278250000001,0.2886832000000002
13,12,-1,left,-1.19760685199,0.4617984309832224,-2.09249675,-0.2613429749999999
13,12,-1,right,-0.241369820952275,0.20297329674001066,-0.6437821,0.15669097500000018
13,16,-1.71,left,-1.658945697675,0.3474382979101284,-2.350741,-0.9659587499999999
13,16,-1.71,right,-0.14999156675937,0.21657297110297488,-0.577361575,0.275678425
13,16,-1.35,left,-1.389078487034,0.5135084076207782,-2.4217512500000002,-0.40153822499999997
